X;Y;Z
-173.4665;-78.6001;-142.4262
179.7546;-76.5157;-148.8115
173.8109;-73.9869;-154.5441
171.0422;-70.904;-157.2881
171.0721;-67.856;-157.2285
170.6381;-65.0848;-157.8461
169.8967;-62.5487;-158.5618
168.5793;-60.548;-159.7827
166.9444;-59.0208;-161.1965
165.3553;-57.2953;-162.3754
164.1036;-55.0219;-163.0945
163.1181;-52.5643;-163.7918
162.3774;-50.2889;-164.8226
161.832;-48.1062;-166.2055
161.4843;-45.8152;-167.6359
161.162;-43.6392;-168.9493
160.7657;-41.3851;-170.2053
160.0923;-39.4746;-171.505
158.9471;-37.8882;-172.6365
157.3976;-36.094;-173.2587
155.7028;-34.488;-173.1376
153.9478;-33.1614;-172.4218
151.9648;-32.3979;-171.6522
149.3687;-32.1452;-170.8905
146.9528;-32.0774;-169.7816
145.1452;-31.6825;-168.5987
143.2686;-31.1971;-167.4534
141.4299;-30.9063;-167.2069
139.8206;-30.3972;-167.2746
138.8071;-29.4215;-167.4692
138.4478;-28.2357;-168.3474
138.4798;-26.8883;-169.688
138.4836;-25.3625;-171.2168
138.2624;-23.6896;-172.8255
137.7918;-22.0483;-174.4011
136.7135;-20.5449;-176.0965
134.7374;-18.6454;-177.8655
132.3513;-16.7276;-177.6838
129.5869;-15.3807;-177.7478
127.3819;-14.1764;-177.6338
126.0447;-13.158;-177.4296
124.7672;-12.1856;-177.2268
123.4801;-11.1704;-176.95
122.1384;-10.0451;-176.6694
120.7355;-8.948;-176.3721
119.3469;-7.8834;-176.0536
118.0106;-6.8098;-175.7306
116.6962;-5.5279;-175.4438
115.5808;-4.196;-175.3433
114.9259;-3.6828;-175.2157
114.6449;-3.4649;-175.1432
114.3172;-3.1995;-175.0823
113.466;-2.5605;-174.917
113.6528;-2.7152;-174.9822
113.543;-2.6153;-174.9438
113.5267;-2.6217;-174.9571
113.5126;-2.6179;-174.9669
113.5088;-2.6122;-174.9627
113.5073;-2.5978;-174.9336
113.4928;-2.5849;-174.9038
113.49;-2.5699;-174.8872
113.4887;-2.5573;-174.8695
113.4892;-2.5529;-174.8517
113.4882;-2.5453;-174.8415
113.4881;-2.5408;-174.8427
113.4882;-2.537;-174.8253
113.4803;-2.5445;-174.83
113.4772;-2.5389;-174.8237
113.4758;-2.5308;-174.8264
113.4762;-2.5346;-174.825
113.4721;-2.5321;-174.8096
113.466;-2.5313;-174.7951
113.4576;-2.5303;-174.7901
113.4617;-2.5175;-174.7867
113.4644;-2.5067;-174.7822
113.4569;-2.5129;-174.7876
113.4491;-2.5222;-174.7946
113.4477;-2.5359;-174.8064
113.4207;-2.5539;-174.828
113.4211;-2.5388;-174.7916
113.4311;-2.553;-174.7887
113.4692;-2.5539;-174.7714
113.4848;-2.5622;-174.7747
113.4829;-2.5814;-174.7885
113.4511;-2.5834;-174.8254
113.4317;-2.5551;-174.808
113.4296;-2.5397;-174.8039
113.434;-2.5398;-174.8193
113.4146;-2.5342;-174.8297
113.4139;-2.5503;-174.8091
113.4267;-2.5363;-174.8065
113.4227;-2.5355;-174.8186
113.4061;-2.5499;-174.8434
113.3762;-2.5231;-174.8273
113.397;-2.521;-174.8205
113.4194;-2.5107;-174.8065
113.4411;-2.5174;-174.7948
113.454;-2.5139;-174.7785
113.4548;-2.5015;-174.7621
113.4594;-2.5047;-174.7502
113.4572;-2.5029;-174.7545
113.4553;-2.5025;-174.7629
113.4559;-2.5055;-174.7563
113.4508;-2.508;-174.7657
113.4529;-2.5115;-174.7473
113.4563;-2.5049;-174.7454
113.4553;-2.4909;-174.732
113.4573;-2.4936;-174.7177
113.4577;-2.4845;-174.7122
113.4579;-2.477;-174.7107
113.4576;-2.4799;-174.6988
113.4554;-2.4619;-174.6976
113.4526;-2.4652;-174.6851
113.3787;-2.4605;-174.704
113.401;-2.5034;-174.6841
113.5983;-2.5868;-173.8435
113.2517;-2.8316;-171.3732
112.7753;-3.1068;-167.8587
112.6721;-3.1896;-163.8509
112.7536;-3.5707;-159.8435
112.3764;-4.0813;-156.1068
111.5399;-4.5466;-152.5948
110.8553;-4.6654;-149.0438
110.1354;-4.6251;-145.2747
109.4212;-4.7325;-141.24
108.8889;-5.2184;-136.871
108.2974;-6.1693;-133.0205
108.6402;-6.5323;-129.8799
109.6342;-6.6494;-127.1995
111.3174;-6.6669;-124.7242
113.2697;-6.5311;-122.1109
114.5937;-6.5922;-119.8331
115.4032;-6.7551;-117.3781
115.5929;-6.8283;-115.3664
115.5705;-6.5532;-115.0891
115.5252;-6.6102;-115.0921
115.4981;-6.1147;-115.1649
115.4709;-5.6506;-115.2354
115.4684;-5.1692;-115.268
115.4571;-4.8232;-115.2895
115.5814;-4.7663;-115.2746
116.3845;-5.0833;-114.9368
117.4334;-5.1734;-114.8276
119.0123;-5.5944;-114.8645
119.9026;-6.0738;-113.48
120.2344;-7.4102;-109.9921
120.9126;-7.2954;-104.5052
121.7717;-6.9467;-98.6669
123.0466;-6.3264;-92.6363
124.5965;-7.8427;-87.6786
125.8841;-11.8005;-84.0418
127.747;-15.0007;-80.9504
129.4975;-16.8653;-77.6838
131.2606;-17.8339;-73.8045
133.2402;-18.4753;-68.7761
135.1655;-18.089;-62.5153
136.935;-16.6354;-55.9253
138.8446;-15.3044;-50.2981
140.7978;-14.1134;-45.0596
142.9992;-13.6517;-40.996
145.6301;-14.1176;-37.7484
147.6706;-14.567;-35.5148
148.7501;-14.8983;-33.2622
149.5829;-14.853;-31.6139
149.7694;-14.3732;-28.5933
149.7174;-14.2769;-26.2991
151.0115;-13.6549;-23.5594
152.1478;-12.8067;-21.0428
152.4212;-12.1363;-18.9905
152.4044;-10.9088;-17.0428
152.1058;-9.4739;-14.6782
151.0377;-8.7563;-12.5915
149.1814;-8.5526;-10.7255
147.2074;-8.5616;-8.9684
145.5516;-8.5445;-7.6354
145.6415;-7.2608;-5.8951
146.1277;-5.3941;-4.9182
146.5488;-4.0828;-3.5559
146.5828;-3.3022;-2.5217
146.613;-2.4898;-1.6336
146.6856;-1.4026;-0.6692
146.7539;-0.8341;-0.1651
146.7043;-1.081;-0.46
146.8081;-0.9498;0.379
146.6873;-1.0185;-0.2306
146.8087;-0.97;0.4183
146.7288;-0.9746;-0.0533
146.7834;-0.9475;0.3681
146.6994;-0.94;0.0281
146.7876;-0.9121;0.3444
146.7314;-0.9151;0.0722
146.7693;-0.9104;0.2947
146.7394;-0.9735;0.2091
146.7524;-1.1751;0.6525
146.7505;-1.2796;0.6269
146.7552;-1.3;0.7024
146.7532;-1.3237;0.6638
146.7734;-1.3221;0.6916
146.7686;-1.3513;0.6309
146.7748;-1.2778;0.6
146.7777;-1.3236;0.5823
146.7833;-1.2968;0.488
146.7734;-1.2857;0.4447
146.7756;-1.2872;0.4078
146.7659;-1.281;0.408
146.7655;-1.2291;0.2986
146.7494;-1.146;0.144
146.7463;-1.1312;0.0891
146.7463;-1.1497;0.126
146.7563;-1.1967;0.1902
146.7517;-1.2031;0.2061
146.754;-1.2091;0.1924
146.7605;-1.243;0.2422
146.7672;-1.2492;0.2535
146.7728;-1.2764;0.3011
146.7764;-1.2803;0.3065
146.7762;-1.2797;0.3031
146.7806;-1.3027;0.3362
146.7829;-1.2997;0.3228
146.7745;-1.3036;0.3074
146.7738;-1.3127;0.3091
146.7792;-1.319;0.3091
146.7795;-1.316;0.3009
146.7751;-1.2523;0.1245
146.7647;-1.3303;0.3131
146.7781;-1.3381;0.3019
146.7967;-1.4325;0.484
146.824;-1.4682;0.038
