X;Y;Z
-108.6502;4.3976;-4.3948
-109.5024;9.0739;-2.9674
-112.5245;9.3556;2.05
-115.5436;-1.1602;4.9162
-110.0001;-6.9117;6.7033
-98.8768;-7.4603;8.5057
-93.7836;-1.3062;8.8151
-95.1259;8.0173;6.845
-94.2019;2.4703;3.9998
-91.1052;-8.9191;4.2495
-88.502;-13.9586;5.3707
-84.821;-11.6636;6.3957
-84.0747;-4.4896;6.0668
-85.3259;3.2069;7.1548
-84.6368;-0.7873;7.8281
-83.7522;-11.8798;9.0099
-78.3063;-12.3542;9.1333
-76.7686;-10.0594;9.5203
-75.5995;-0.6892;9.1583
-74.3053;8.5378;8.2144
-68.2568;4.8172;5.9034
-62.3688;-6.6477;4.647
-56.5903;-11.6492;5.2369
-55.6497;-8.2675;4.7841
-59.2523;-1.8561;2.7963
-59.132;5.7953;0.7298
-57.7544;-0.9871;-1.0864
-54.9628;-9.4439;-0.5782
-51.9527;-11.7919;-0.8529
-51.7832;-9.822;-1.6741
-53.3494;-2.2913;-3.2376
-54.886;4.3812;-4.2793
-55.5853;2.917;-3.413
-56.4803;-9.0796;-2.7082
-53.0519;-13.6087;-3.9151
-54.68;-10.5025;-5.3492
-60.6154;-4.2368;-7.4545
-63.8978;3.2951;-8.3302
-67.2818;6.6726;-4.5102
-67.4004;0.9496;-3.8784
-65.8124;-10.0263;-4.5217
-65.3849;-13.0165;-6.6957
-68.4455;-10.9748;-7.586
-69.9887;-3.4026;-8.0148
-72.3126;2.7407;-9.214
-72.4775;0.9282;-12.4656
-75.0344;-5.7472;-18.2893
-82.8712;-8.9507;-18.6909
-87.3488;-8.0883;-19.6859
-90.9505;-4.1712;-19.4249
-95.1843;1.1111;-18.0631
-101.5007;5.2139;-16.5782
-111.709;2.8023;-12.7169
-116.2589;-3.9025;-13.0507
-114.8997;-5.7919;-13.8266
-114.8167;-3.4425;-13.7014
-116.7425;3.5059;-13.5802
-123.942;8.5986;-11.0342
-135.9274;0.183;-8.2992
-137.7437;-7.8427;-10.8928
-132.5284;-7.8478;-10.3563
-135.8926;2.0905;-8.9449
-145.2166;5.3483;-4.3513
-147.7424;-2.9973;-4.9143
-145.6492;-8.6753;-7.1658
-145.7883;-5.8704;-6.9929
-148.7903;1.8421;-7.2992
-151.0035;2.9252;-7.0343
-152.5609;-3.3133;-6.962
-152.4059;-8.6124;-8.3673
-156.4754;-8.3183;-10.0609
-160.4027;-1.4728;-10.7178
-162.5635;4.0386;-11.5681
-165.7826;4.943;-11.5906
-171.873;-3.869;-10.75
-172.2663;-9.8259;-12.9124
-173.7027;-8.4823;-13.8932
-176.2866;0.3173;-12.9891
-179.4348;7.1561;-12.4491
175.7275;7.7888;-8.5685
167.2057;-0.3692;-5.2648
166.2137;-7.5666;-8.4033
166.8902;-8.6356;-8.8412
166.7174;-1.616;-9.6103
165.0783;6.1207;-10.3635
158.4792;4.2762;-7.2423
154.6061;-3.6049;-6.672
157.4097;-7.454;-7.9218
157.1011;-4.8396;-8.3693
155.6566;3.7071;-7.1899
147.366;4.5643;-3.7974
139.631;-2.8376;-2.4054
144.3689;-6.6885;-4.6144
147.3166;-5.6127;-4.2895
148.706;3.8187;-4.4619
141.7662;7.5855;-4.44
134.4954;-1.2893;-1.5066
137.1987;-8.0463;-1.5053
143.0416;-8.4869;-1.1332
146.9473;-5.4359;-0.4239
148.2707;2.4856;0.3425
145.5385;8.2253;-3.213
140.2748;3.2277;-6.1805
135.6625;-4.1392;-5.6207
134.8487;-6.6368;-6.257
136.7954;-2.6091;-5.6062
136.3412;5.7893;-2.2792
132.0906;1.9795;-0.1522
135.3256;-7.1636;0.4475
142.5429;-8.7725;-0.0112
142.5776;-3.848;-0.9752
137.1066;7.5562;-0.4075
126.1441;8.2907;4.7992
124.8417;-2.3013;6.7406
137.1245;-7.0013;5.7367
146.3161;-0.6302;6.9625
143.2029;8.9337;6.7073
142.5618;7.8676;0.8401
145.1969;-1.2115;-3.7663
145.4112;-8.1174;-3.343
146.8166;-8.7385;-3.121
144.1933;-1.3428;-2.7566
136.8438;6.9644;-1.035
128.9312;2.81;1.8106
130.6673;-7.0387;2.3101
139.9726;-10.3215;3.2334
145.6158;-9.7499;3.9659
147.0667;-3.3212;3.4854
143.422;3.3787;2.7511
141.5179;3.604;4.7056
141.9554;-3.6111;4.8213
145.7556;-6.1799;3.0731
145.4518;-4.5313;2.606
145.0546;2.3169;1.3886
144.8796;7.9052;-0.2299
147.2352;6.851;-2.6187
149.6192;-1.8791;-4.814
149.8559;-8.1197;-5.3393
142.7507;-8.7097;-6.9506
140.4418;-2.5802;-8.6857
140.3042;0.9408;-9.3591
140.8725;0.7376;-10.0039
140.0893;-1.7093;-10.9015
137.6384;-6.926;-10.2547
135.3036;-8.434;-12.1932
131.0514;-3.9526;-12.3467
128.4319;2.8318;-12.101
124.9684;5.9435;-11.4883
121.7715;5.5421;-11.6122
115.5071;-1.9557;-10.8725
109.6016;-8.7378;-12.6881
109.4985;-10.1739;-12.9119
108.8143;-4.3728;-11.7751
108.0514;1.1078;-10.1309
106.4822;3.9769;-8.2233
106.9816;2.4462;-9.5695
104.8889;-5.0823;-10.6741
100.1789;-9.3996;-13.042
91.0939;-6.5429;-15.2216
85.7231;-1.7173;-14.9908
82.9674;3.0577;-12.3323
79.144;6.1755;-8.3348
75.1659;-1.8131;-5.7541
78.236;-8.4644;-6.0851
79.1854;-9.6861;-5.8852
79.4803;-5.4616;-4.0111
80.8362;-1.6351;-2.6046
78.7721;2.5106;-6.3471
76.3663;0.8455;-9.0546
72.4197;-7.4376;-10.8623
66.914;-10.532;-13.0361
61.8339;-9.4976;-15.2149
58.9455;-7.388;-15.6147
59.1119;-4.9906;-13.5701
59.3115;-2.9036;-11.1613
57.8768;-0.2118;-10.8432
